4583	17499	17150	2	22	0	0	7	12	1	3	0
4584	18586	18298	12	27	0	0	30	12	3	3	0
4585	16924	16672	12	6	0	0	16	12	3	1	0
4594	18603	18299	2	23	0	0	33	12	1	3	0
4620	18027	17696	13	9	0	0	20	12	3	3	0
4621	19974	19789	13	31	0	0	11	12	3	1	0
4622	20122	19788	13	28	0	0	17	12	3	1	0
4703	19160	18982	15	10	0	0	24	12	3	1	0
6297	19050	18711	6	20	0	0	38	12	3	3	0
4736	18734	18536	16	16	0	0	57	12	3	1	0
4737	18856	18535	16	16	0	0	58	12	3	1	0
4774	17771	17488	17	26	0	0	2	12	3	1	0
4776	19981	19651	17	31	0	0	38	12	3	1	0
4777	17719	17496	7	13	0	0	25	12	1	1	0
4803	17675	17462	18	22	0	0	37	12	3	3	0
4804	17682	17463	18	12	0	0	44	12	3	3	0
4806	17745	17461	18	22	0	0	36	12	3	3	0
4807	17926	17461	18	15	0	0	38	12	3	3	0
4834	17237	17000	20	29	0	0	52	12	1	1	0
4835	18122	17866	30	9	0	0	20	12	3	3	0
4836	18126	17865	30	14	0	0	57	12	3	3	0
4910	18152	17931	0	13	0	0	28	12	3	3	0
4982	18429	18230	2	31	0	0	22	12	3	3	0
4983	18456	18230	2	6	0	0	5	12	3	3	0
4985	18552	18231	24	15	0	0	34	12	1	3	0
5032	18676	18385	3	1	0	0	24	12	3	1	0
5088	17110	16837	5	12	0	0	51	12	3	1	0
5139	17444	17221	28	18	0	0	37	12	1	3	0
5238	19001	18701	31	20	0	0	39	12	1	3	0
5273	19841	19539	0	21	0	0	60	12	1	3	0
5274	19772	19539	10	10	0	0	2	12	3	3	0
5276	19780	19539	10	5	0	0	8	12	3	3	0
5308	16841	16620	1	28	0	0	57	12	1	1	0
5339	18677	18361	2	31	0	0	33	12	1	3	0
5363	19217	19020	3	16	0	0	33	12	1	1	0
5365	19250	19016	13	11	0	0	34	12	3	1	0
5366	19249	19021	3	4	0	0	28	12	1	1	0
5396	18503	18223	4	12	0	0	54	12	1	1	0
5401	19491	19267	14	4	0	0	54	12	3	1	0
5442	19396	19156	5	24	0	0	6	12	1	1	0
5443	16603	16325	15	1	0	0	42	12	3	1	0
5480	16579	16315	6	19	0	0	10	12	1	3	0
5481	16617	16315	16	4	0	0	53	12	3	3	0
5483	19934	19616	16	31	0	0	27	12	3	3	0
5519	19710	19451	7	27	0	0	62	12	1	3	0
5520	19632	19450	17	11	0	0	43	12	3	1	0
5521	19728	19451	7	26	0	0	59	12	1	3	0
5522	19768	19447	17	2	0	0	41	12	3	1	0
5554	17786	17550	8	9	0	0	34	12	1	1	0
5555	19504	19227	18	22	0	0	3	12	3	1	0
5556	19988	19743	18	10	0	0	38	12	3	1	0
5557	17839	17550	8	24	0	0	29	12	1	1	0
5558	20008	19748	8	4	0	0	19	12	1	1	0
5636	20092	19871	10	6	0	0	8	12	1	1	0
5637	20135	19871	10	2	0	0	10	12	1	1	0
5638	18124	17767	20	4	0	0	2	12	3	1	0
5639	20143	19870	10	21	0	0	7	12	1	1	0
5640	20153	19865	20	21	0	0	61	12	3	1	0
5677	20284	20016	11	9	0	0	9	12	1	3	0
5705	20289	20051	22	10	0	0	38	12	3	1	0
5730	19132	18819	23	19	0	0	2	12	3	3	0
5731	19072	18880	13	24	0	0	51	12	1	1	0
5732	18086	17772	13	12	0	0	8	12	1	3	0
5733	19050	18875	23	2	0	0	13	12	3	1	0
5734	19155	18874	23	11	0	0	16	12	3	1	0
5737	19080	18880	13	20	0	0	55	12	1	1	0
5773	19607	19352	24	0	0	0	5	12	3	1	0
5827	16412	16049	25	12	0	0	45	12	3	1	0
5828	17206	16918	25	4	0	0	7	12	3	1	0
5829	16873	16607	15	7	0	0	48	12	1	1	0
5831	16889	16607	15	3	0	0	42	12	1	1	0
5872	16754	16431	26	16	0	0	14	12	3	1	0
5874	18635	18360	26	28	0	0	53	12	3	3	0
5900	19454	19250	17	20	0	0	57	12	1	1	0
5901	19205	18885	17	24	0	0	37	12	1	3	0
5907	19236	18885	17	18	0	0	44	12	1	3	0
5945	18442	18109	28	8	0	0	52	12	3	3	0
5947	16563	16263	28	9	0	0	38	12	3	1	0
5950	18477	18110	18	26	0	0	49	12	1	1	0
5988	19564	19367	19	8	0	0	28	12	1	1	0
5990	18499	18235	29	7	0	0	43	12	3	3	0
5994	19704	19365	19	26	0	0	27	12	1	1	0
6030	19034	18853	30	7	0	0	20	12	3	1	0
6032	19214	18853	30	17	0	0	43	12	3	1	0
6033	19154	18858	20	26	0	0	24	12	1	1	0
6065	18282	17983	31	16	0	0	36	12	3	1	0
6069	18239	17989	21	0	0	0	24	12	1	1	0
6118	19065	18806	1	22	0	0	15	12	3	1	0
6119	16718	16511	1	2	0	0	12	12	3	3	0
6121	16810	16510	1	11	0	0	8	12	3	3	0
6122	19025	18811	23	20	0	0	55	12	1	1	0
6127	19288	18963	1	16	0	0	8	12	3	3	0
6147	17212	16953	2	0	0	0	20	12	3	1	0
6148	18568	18394	24	7	0	0	38	12	1	1	0
6149	18655	18392	24	30	0	0	40	12	1	1	0
6151	17232	16952	2	29	0	0	18	12	3	1	0
6196	17724	17482	25	26	0	0	21	12	1	3	0
6198	17047	16796	3	5	0	0	13	12	3	3	0
6199	17864	17482	25	24	0	0	27	12	1	3	0
6224	18927	18708	4	19	0	0	35	12	3	3	0
6225	18992	18708	4	3	0	0	33	12	3	3	0
6250	16866	16570	27	31	0	0	39	12	1	3	0
6251	16846	16566	5	24	0	0	48	12	3	1	0
6252	16775	16570	5	20	0	0	29	12	3	3	0
6253	19126	18756	5	13	0	0	25	12	3	3	0
6258	19583	19374	27	20	0	0	8	12	1	1	0
6259	19595	19374	27	10	0	0	4	12	1	1	0
6295	19002	18711	6	5	0	0	37	12	3	3	0
7842	17433	17190	9	6	0	0	54	12	1	1	0
6417	20286	19946	31	22	0	0	49	12	1	3	0
6446	18733	18405	10	3	0	0	46	12	3	3	0
6483	16671	16311	11	11	0	0	43	12	3	1	0
